CANDIDATO,NÚMERO,PARTIDO,VOTOS
Xerife Marcelo Cury,25123,DEM,965
Lúcio Chama,22333,PL,963
Dr Alessandro,10511,REPUBLICANOS,961
Kid Bengala,14033,PTB,956
Policial Lucélia,17540,PSL,948
James Losacco,45012,PSDB,943
Ronaldo Leite,40573,PSB,939
Garry,13100,PT,938
Coronel Castro,17881,PSL,930
Bananinha Maluco,15005,MDB,922
Edinalva Da Comunidade,55331,PSD,921
Daniel Braga,14550,PTB,921
Andrezão Do Povo,43999,PV,919
Celinho Fat Family,14888,PTB,919
Elvis Esse Eu Conheço,14456,PTB,919
Professora Haidee,25001,DEM,917
Alle Pimenta,11800,PP,906
Bruno Nabuco,45333,PSDB,902
Pastor Messias Pereira,13444,PT,900
Normandy Pantera Negra,13111,PT,898
Cleomenes Júnior,22800,PL,897
Mauricio Domingos,10910,REPUBLICANOS,896
Fernanda Santos,10108,REPUBLICANOS,894
Dr Arnaldo Dantas,14121,PTB,893
Ceara,15007,MDB,889
Edy De Paula,51251,PATRIOTA,889
Dr Marco Aurelio,15080,MDB,885
Josie Priscila,45889,PSDB,884
Coronel Marcel Soffner,17007,PSL,883
John Carvalho,10070,REPUBLICANOS,880
Sergio Terra,17147,PSL,872
Glaucia Maximo,20500,PSC,872
Leo Ramos,55432,PSD,859
Toni Zagato,50234,PSOL,856
Sergio Augusto Da Cultura,19559,PODE,853
Dacio Pretoni,55588,PSD,847
Osmi Da Sáude,43020,PV,840
Professor Igarashi,45281,PSDB,837
Abencoado Da Bahia,20888,PSC,834
Cidinha Raiz,19006,PODE,833
Joana Daque,10987,REPUBLICANOS,832
Zito Amaral,40580,PSB,830
Viviane Ferreira Procopio,15140,MDB,828
Edson Queiroz,45454,PSDB,824
Leandro Calil,19876,PODE,824
Subtenente João Marcelo,17771,PSL,823
Guedes Discípulos,10678,REPUBLICANOS,821
Professora Sétima Araújo,25007,DEM,819
Nélio Rosa,17200,PSL,819
Junqueira,19199,PODE,818
Valentim Junior,15077,MDB,818
Reverenda Alexya Salvador,50321,PSOL,814
Levi Cavalini,17234,PSL,812
Danilo Manha,19222,PODE,812
Fabio Arruda,17024,PSL,809
Beto Freire,14920,PTB,808
Professor Toninho Beraldo,17162,PSL,806
Tati De Sampa,40640,PSB,806
Inspetor Paschoal Guardião,17987,PSL,805
Geraldo Nóbrega,40001,PSB,804
Eridani Vilela,17333,PSL,804
Brito,19122,PODE,800
Socorro Da Habitação,22221,PL,799
Andrea De Paula,15158,MDB,798
Cabo Izaias,11010,PP,796
Francisco Claudino,10122,REPUBLICANOS,792
Ray Do Pescado,10110,REPUBLICANOS,785
Beto Sartori,17878,PSL,782
Juarez Domingos,20700,PSC,780
Breno Da Carreta,43431,PV,778
